-e FieldID	TRAIT_OF_INTEREST	EXCLUDED	CAT_MULT_INDICATOR_FIELDS	CAT_SINGLE_TO_CAT_MULT	DATE_CONVERT	DATA_CODING	Path	Category	Field	ValueType
-e 21119	X						Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Arms bone mass	Integer
-e 21120	X						Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Arms fat free mass	Integer
-e 21121	X						Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Arms tissue mass	Integer
-e 21122	X						Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Femur total bone mass	Integer
-e 21123	X						Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Gynoid fat free mass	Integer
-e 21124	X						Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Gynoid tissue mass	Integer
-e 21125	X						Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Leg bone mass (left)	Integer
-e 21126	X						Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Leg bone mass (right)	Integer
-e 21127	X						Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Leg fat free mass (left)	Integer
-e 21128	X						Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Leg fat free mass (right)	Integer
-e 21129	X						Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Leg tissue mass (left)	Integer
-e 21130	X						Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Leg tissue mass (right)	Integer
-e 21131	X						Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Legs bone mass	Integer
-e 21132	X						Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Legs fat free mass	Integer
-e 21133	X						Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Legs tissue mass	Integer
-e 21134	X						Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Trunk bone mass	Integer
-e 21135	X						Assessment centre > Imaging > DXA assessment > Body composition by DXA	124	Trunk tissue mass	Integer
-e 21136	X						Assessment centre > Imaging > DXA assessment > Bone size, mineral and density by DXA	125	B2-B4 area	Continuous
-e 21137	X						Assessment centre > Imaging > DXA assessment > Bone size, mineral and density by DXA	125	B2-B4 BMC (bone mineral content)	Continuous
-e 21138	X						Assessment centre > Imaging > DXA assessment > Bone size, mineral and density by DXA	125	B2-B4 BMD (bine mineral density)	Continuous
-e 21139	X						Assessment centre > Imaging > DXA assessment	103	DXA measurement QC Flag	Integer
-e 21160	X						Assessment centre > Imaging > Abdominal MRI > Kidney MRI > Kidney derived measures	159	Kidney parenchyma total	Continuous
-e 21161	X						Assessment centre > Imaging > Abdominal MRI > Kidney MRI > Kidney derived measures	159	Kidney parenchyma (left)	Continuous
-e 21162	X						Assessment centre > Imaging > Abdominal MRI > Kidney MRI > Kidney derived measures	159	Kidney parenchyma (right)	Continuous
-e 21163	X						Assessment centre > Imaging > Abdominal MRI > Kidney MRI > Kidney derived measures	159	Kidney distance	Continuous
-e 21164	X						Assessment centre > Imaging > Abdominal MRI > Kidney MRI > Kidney derived measures	159	Kidney fusion	Categorical single
-e 21611		YES-ACE					Assessment centre > Procedural metrics > Process durations	152	Reception duration	Integer
-e 21621		YES-ACE					Assessment centre > Procedural metrics > Process durations	152	Consent duration	Integer
-e 21622		YES-ACE					Assessment centre > Procedural metrics > Process durations	152	Touchscreen duration	Integer
-e 21625		YES-ACE					Assessment centre > Procedural metrics > Process durations	152	Touchscreen cognitive duration	Integer
-e 21631		YES-ACE					Assessment centre > Procedural metrics > Process durations	152	Verbal interview duration	Integer
-e 21634		YES-ACE					Assessment centre > Procedural metrics > Process durations	152	Biometrics duration	Integer
-e 21636	X						Assessment centre > Procedural metrics > Process durations	152	Eye measures duration	Integer
-e 21642		YES-ACE					Assessment centre > Procedural metrics > Process durations	152	Sample collection duration	Integer
-e 21651		YES-ACE					Assessment centre > Procedural metrics > Process durations	152	Conclusion duration	Integer
-e 21661		YES-ACE					Assessment centre > Procedural metrics > Process durations	152	Imaging screening duration	Integer
-e 21662		YES-ACE					Assessment centre > Procedural metrics > Process durations	152	Brain MRI duration	Integer
-e 21663		YES-ACE					Assessment centre > Procedural metrics > Process durations	152	Chest MRI duration	Integer
-e 21664		YES-ACE					Assessment centre > Procedural metrics > Process durations	152	DXA assessment duration	Integer
-e 21665		YES-ACE					Assessment centre > Procedural metrics > Process durations	152	Carotid ultrasound duration	Integer
-e 21666		YES-ACE					Assessment centre > Procedural metrics > Process durations	152	ECG at rest duration	Integer
-e 21671		YES-ACE					Assessment centre > Procedural metrics > Process durations	152	Cardiac monitor duration	Integer
-e 21711		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Reception authorisation	Categorical single
-e 21721		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Consent authorisation	Categorical single
-e 21722		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Touchscreen authorisation	Categorical single
-e 21723		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Touchscreen cognitive authorisation (pilot)	Categorical single
-e 21725		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Touchscreen cognitive authorisation	Categorical single
-e 21731		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Verbal interview authorisation	Categorical single
-e 21732		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Pilot Spirometry authorisation	Categorical single
-e 21733		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Measurement/Impedance authorisation (pilot)	Categorical single
-e 21734		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Biometrics authorisation	Categorical single
-e 21736		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Eye measures authorisation	Categorical single
-e 21738		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	ECG during exercise authorisation	Categorical single
-e 21741		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Urine collection authorisation	Categorical single
-e 21742		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Sample collection authorisation	Categorical single
-e 21751		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Conclusion authorisation	Categorical single
-e 21761		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Imaging screening authorisation	Categorical single
-e 21762		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Brain MRI authorisation	Categorical single
-e 21763		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Chest MRI authorisation	Categorical single
-e 21764		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	DXA assessment authorisation	Categorical single
-e 21765		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Carotid ultrasound authorisation	Categorical single
-e 21766		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	ECG at rest authorisation	Categorical single
-e 21771		YES-PROCESSING				123	Assessment centre > Procedural metrics > Process authorisation	127	Cardiac monitor authorisation	Categorical single
-e 22000		YES-GENETIC				22000	Genomics > Genotypes > Genotyping process and sample QC	100313	Genotype measurement batch	Categorical single
-e 22001		YES-GENETIC				9	Genomics > Genotypes > Genotyping process and sample QC	100313	Genetic sex	Categorical single
-e 22003		YES-GENETIC					Genomics > Genotypes > Genotyping process and sample QC	100313	Heterozygosity	Continuous
-e 22004		YES-GENETIC					Genomics > Genotypes > Genotyping process and sample QC	100313	Heterozygosity, PCA corrected	Continuous
-e 22005		YES-GENETIC					Genomics > Genotypes > Genotyping process and sample QC	100313	Missingness	Continuous
-e 22006		YES-GENETIC				1002	Genomics > Genotypes > Genotyping process and sample QC	100313	Genetic ethnic grouping	Categorical single
-e 22009		YES-GENETIC					Genomics > Genotypes > Genotyping process and sample QC	100313	Genetic principal components	Continuous
-e 22010		YES-GENETIC				1101	Genomics > Genotypes > Interim genotype release	199001	Recommended genomic analysis exclusions	Categorical single
-e 22011		YES-GENETIC					Genomics > Genotypes > Interim genotype release	199001	Genetic relatedness pairing	Integer
-e 22012		YES-GENETIC					Genomics > Genotypes > Interim genotype release	199001	Genetic relatedness factor	Continuous
-e 22013		YES-GENETIC					Genomics > Genotypes > Interim genotype release	199001	Genetic relatedness IBS0	Continuous
-e 22017		YES-DATE					Online follow-up > Cognitive function online	116	Invitation to complete online cognitive function questionnaire, date sent	Date
-e 22018		YES-GENETIC					Genomics > Genotypes > Interim genotype release	199001	Genetic relatedness exclusions	Categorical single
-e 22019		YES-GENETIC				1	Genomics > Genotypes > Genotyping process and sample QC	100313	Sex chromosome aneuploidy	Categorical single
-e 22020		YES-GENETIC				1	Genomics > Genotypes > Genotyping process and sample QC	100313	Used in genetic principal components	Categorical single
-e 22021		YES-GENETIC				682	Genomics > Genotypes > Genotyping process and sample QC	100313	Genetic kinship to other participants	Categorical single
-e 22022		YES-GENETIC					Genomics > Genotypes > Genotyping process and sample QC	100313	Sex inference X probe-intensity	Continuous
-e 22023		YES-GENETIC					Genomics > Genotypes > Genotyping process and sample QC	100313	Sex inference Y probe-intensity	Continuous
-e 22024		YES-GENETIC					Genomics > Genotypes > Genotyping process and sample QC	100313	DNA concentration	Continuous
-e 22025		YES-GENETIC					Genomics > Genotypes > Genotyping process and sample QC	100313	"Affymetrix quality control metric Cluster.CR"""	Continuous
-e 22026		YES-GENETIC					Genomics > Genotypes > Genotyping process and sample QC	100313	"Affymetrix quality control metric dQC"""	Continuous
-e 22027		YES-GENETIC				1	Genomics > Genotypes > Genotyping process and sample QC	100313	Outliers for heterozygosity or missing rate	Categorical single
-e 22028		YES-GENETIC				100264	Genomics > Genotypes > Genotyping process and sample QC	100313	Use in phasing Chromosomes 1-22	Categorical single
-e 22029		YES-GENETIC				100264	Genomics > Genotypes > Genotyping process and sample QC	100313	Use in phasing Chromosome X	Categorical single
-e 22030		YES-GENETIC				100264	Genomics > Genotypes > Genotyping process and sample QC	100313	Use in phasing Chromosome XY	Categorical single
-e 22032						100700	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity > MET Scores	54	IPAQ activity group	Categorical single
-e 22033							Assessment centre > Touchscreen > Lifestyle and environment > Physical activity > MET Scores	54	Summed days activity	Integer
-e 22034							Assessment centre > Touchscreen > Lifestyle and environment > Physical activity > MET Scores	54	Summed minutes activity	Integer
-e 22035						7	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity > MET Scores	54	Above moderate/vigorous recommendation	Categorical single
-e 22036						7	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity > MET Scores	54	Above moderate/vigorous/walking recommendation	Categorical single
-e 22037							Assessment centre > Touchscreen > Lifestyle and environment > Physical activity > MET Scores	54	MET minutes per week for walking	Continuous
-e 22038							Assessment centre > Touchscreen > Lifestyle and environment > Physical activity > MET Scores	54	MET minutes per week for moderate activity	Continuous
-e 22039							Assessment centre > Touchscreen > Lifestyle and environment > Physical activity > MET Scores	54	MET minutes per week for vigorous activity	Continuous
-e 22040							Assessment centre > Touchscreen > Lifestyle and environment > Physical activity > MET Scores	54	Summed MET minutes per week for all activity	Continuous
-e 22051		YES-GENETIC				100	Genomics > Genotypes > Interim genotype release	199001	UKBiLEVE genotype quality control for samples	Categorical single
-e 22052		YES-GENETIC				101	Genomics > Genotypes > Interim genotype release	199001	UKBiLEVE unrelatedness indicator	Categorical single
-e 22126						7	Online follow-up > Work environment > Medical information	132	Doctor diagnosed hayfever or allergic rhinitis	Categorical single
-e 22127						7	Online follow-up > Work environment > Medical information	132	Doctor diagnosed asthma	Categorical single
-e 22128						7	Online follow-up > Work environment > Medical information	132	Doctor diagnosed emphysema	Categorical single
-e 22129						7	Online follow-up > Work environment > Medical information	132	Doctor diagnosed chronic bronchitis	Categorical single
-e 22130						7	Online follow-up > Work environment > Medical information	132	Doctor diagnosed COPD (chronic obstructive pulmonary disease)	Categorical single
-e 22131						7	Online follow-up > Work environment > Medical information	132	Doctor diagnosed cystic fibrosis	Categorical single
-e 22132						7	Online follow-up > Work environment > Medical information	132	Doctor diagnosed alpha-1 antitrypsin deficiency	Categorical single
-e 22133						7	Online follow-up > Work environment > Medical information	132	Doctor diagnosed sarcoidosis	Categorical single
-e 22134						7	Online follow-up > Work environment > Medical information	132	Doctor diagnosed bronchiectasis	Categorical single
-e 22135						7	Online follow-up > Work environment > Medical information	132	Doctor diagnosed idiopathic pulmonary fibrosis	Categorical single
-e 22136						7	Online follow-up > Work environment > Medical information	132	Doctor diagnosed fibrosing alveolitis/unspecified alveolitis	Categorical single
-e 22137						7	Online follow-up > Work environment > Medical information	132	Doctor diagnosed tuberculosis	Categorical single
-e 22138						7	Online follow-up > Work environment > Medical information	132	Doctor diagnosed silicosis	Categorical single
-e 22139						7	Online follow-up > Work environment > Medical information	132	Doctor diagnosed asbestosis	Categorical single
-e 22140						7	Online follow-up > Work environment > Medical information	132	Doctor diagnosed lung cancer (not mesothelioma)	Categorical single
-e 22141						7	Online follow-up > Work environment > Medical information	132	Doctor diagnosed mesothelioma of the lung	Categorical single
-e 22146							Online follow-up > Work environment > Medical information	132	Age hayfever or allergic rhinitis diagnosed by doctor	Integer
-e 22147							Online follow-up > Work environment > Medical information	132	Age asthma diagnosed by doctor	Integer
-e 22148							Online follow-up > Work environment > Medical information	132	Age emphysema diagnosed by doctor	Integer
-e 22149							Online follow-up > Work environment > Medical information	132	Age chronic bronchitis diagnosed by doctor	Integer
-e 22150							Online follow-up > Work environment > Medical information	132	Age COPD (Chronic Obstructive Pulmonary Disease) diagnosed by doctor	Integer
-e 22151							Online follow-up > Work environment > Medical information	132	Age cystic fibrosis diagnosed by doctor	Integer
-e 22152							Online follow-up > Work environment > Medical information	132	Age alpha-1 antitrypsin deficiency diagnosed by doctor	Integer
-e 22153							Online follow-up > Work environment > Medical information	132	Age sarcoidosis diagnosed by doctor	Integer
-e 22154							Online follow-up > Work environment > Medical information	132	Age bronchiectasis diagnosed by doctor	Integer
-e 22155							Online follow-up > Work environment > Medical information	132	Age idiopathic pulmonary fibrosis diagnosed by doctor	Integer
-e 22156							Online follow-up > Work environment > Medical information	132	Age fibrosing alveolitis/unspecified alveolitis diagnosed by doctor	Integer
-e 22157							Online follow-up > Work environment > Medical information	132	Age tuberculosis diagnosed by doctor	Integer
-e 22158							Online follow-up > Work environment > Medical information	132	Age silicosis diagnosed by doctor	Integer
-e 22159							Online follow-up > Work environment > Medical information	132	Age asbestosis diagnosed by doctor	Integer
-e 22160							Online follow-up > Work environment > Medical information	132	Age lung cancer (not mesothelioma) diagnosed by doctor	Integer
-e 22161							Online follow-up > Work environment > Medical information	132	Age mesothelioma of the lung diagnosed by doctor	Integer
-e 22166						7	Online follow-up > Work environment > Medical information	132	Recent medication for hayfever or allergic rhinitis	Categorical single
-e 22167						7	Online follow-up > Work environment > Medical information	132	Recent medication for asthma	Categorical single
-e 22168						7	Online follow-up > Work environment > Medical information	132	Recent medication for emphysema	Categorical single
-e 22169						7	Online follow-up > Work environment > Medical information	132	Recent medication for chronic bronchitis	Categorical single
-e 22170						7	Online follow-up > Work environment > Medical information	132	Recent medication for COPD (Chronic Obstructive Pulmonary Disease)	Categorical single
-e 22171						7	Online follow-up > Work environment > Medical information	132	Recent medication for cystic fibrosis	Categorical single
-e 22172						7	Online follow-up > Work environment > Medical information	132	Recent medication for alpha-1 antitrypsin deficiency	Categorical single
-e 22173						7	Online follow-up > Work environment > Medical information	132	Recent medication for sarcoidosis	Categorical single
-e 22174						7	Online follow-up > Work environment > Medical information	132	Recent medication for bronchiectasis	Categorical single
-e 22175						7	Online follow-up > Work environment > Medical information	132	Recent medication for idiopathic pulmonary fibrosis	Categorical single
-e 22176						7	Online follow-up > Work environment > Medical information	132	Recent medication for fibrosing alveolitis/unspecified alveolitis	Categorical single
-e 22177						7	Online follow-up > Work environment > Medical information	132	Recent medication for tuberculosis	Categorical single
-e 22178						7	Online follow-up > Work environment > Medical information	132	Recent medication for silicosis	Categorical single
-e 22179						7	Online follow-up > Work environment > Medical information	132	Recent medication for asbestosis	Categorical single
-e 22180						7	Online follow-up > Work environment > Medical information	132	Recent medication for lung cancer (not mesothelioma)	Categorical single
-e 22181						7	Online follow-up > Work environment > Medical information	132	Recent medication for mesothelioma of the lung	Categorical single
-e 22189	X						Population characteristics > Baseline characteristics	100094	Townsend deprivation index at recruitment	Continuous
-e 22190		YES-GENETIC					Genomics > Telomeres	265	Unadjusted T/S ratio	Continuous
-e 22191		YES-GENETIC					Genomics > Telomeres	265	Adjusted T/S ratio	Continuous
-e 22192		YES-GENETIC					Genomics > Telomeres	265	Z-adjusted T/S log	Continuous
-e 22194		YES-GENETIC					Genomics > Telomeres	265	T/S ratio for regression dilution bias	Continuous
-e 22200		YES-AGE					Online follow-up > Work environment > Employment history	130	Year of birth	Integer
-e 22330							Assessment centre > Physical measures > ECG at rest, 12-lead	104	PQ interval	Integer
-e 22331							Assessment centre > Physical measures > ECG at rest, 12-lead	104	QT interval	Integer
-e 22332							Assessment centre > Physical measures > ECG at rest, 12-lead	104	QTC interval	Integer
-e 22333							Assessment centre > Physical measures > ECG at rest, 12-lead	104	RR interval	Integer
-e 22334							Assessment centre > Physical measures > ECG at rest, 12-lead	104	PP interval	Integer
-e 22335							Assessment centre > Physical measures > ECG at rest, 12-lead	104	P axis	Integer
-e 22336							Assessment centre > Physical measures > ECG at rest, 12-lead	104	R axis	Integer
-e 22337							Assessment centre > Physical measures > ECG at rest, 12-lead	104	T axis	Integer
-e 22338							Assessment centre > Physical measures > ECG at rest, 12-lead	104	QRS num	Integer
-e 22403							Assessment centre > Imaging > Abdominal MRI > Abdominal composition	149	Anterior thigh fat-free muscle volume (right)	Continuous
-e 22404							Assessment centre > Imaging > Abdominal MRI > Abdominal composition	149	Posterior thigh fat-free muscle volume (right)	Continuous
-e 22405							Assessment centre > Imaging > Abdominal MRI > Abdominal composition	149	Anterior thigh fat-free muscle volume (left)	Continuous
-e 22406							Assessment centre > Imaging > Abdominal MRI > Abdominal composition	149	Posterior thigh fat-free muscle volume (left)	Continuous
-e 22407							Assessment centre > Imaging > Abdominal MRI > Abdominal composition	149	Visceral adipose tissue volume (VAT)	Continuous
-e 22408							Assessment centre > Imaging > Abdominal MRI > Abdominal composition	149	Abdominal subcutaneous adipose tissue volume (ASAT)	Continuous
-e 22409							Assessment centre > Imaging > Abdominal MRI > Abdominal composition	149	Total thigh fat-free muscle volume	Continuous
-e 22410							Assessment centre > Imaging > Abdominal MRI > Abdominal composition	149	Total trunk fat volume	Continuous
-e 22415							Assessment centre > Imaging > Abdominal MRI > Abdominal composition	149	Total adipose tissue volume	Continuous
-e 22416							Assessment centre > Imaging > Abdominal MRI > Abdominal composition	149	Total lean tissue volume	Continuous
-e 22418		YES-GENETIC					Genomics > Genotypes > Genotype Results	100315	Genotype calls	Integer
-e 22419		YES-GENETIC					Genomics > Genotypes > Genotype Results	100315	Genotype confidences	Integer
-e 22420							Assessment centre > Imaging > Heart MRI > Left ventricular size and function	133	LV ejection fraction	Integer
-e 22421							Assessment centre > Imaging > Heart MRI > Left ventricular size and function	133	LV end diastolic volume	Integer
-e 22422							Assessment centre > Imaging > Heart MRI > Left ventricular size and function	133	LV end systolic volume	Integer
-e 22423							Assessment centre > Imaging > Heart MRI > Left ventricular size and function	133	LV stroke volume	Integer
-e 22424							Assessment centre > Imaging > Heart MRI > Left ventricular size and function	133	Cardiac output	Continuous
-e 22425							Assessment centre > Imaging > Heart MRI > Left ventricular size and function	133	Cardiac index	Continuous
-e 22426							Assessment centre > Imaging > Heart MRI > Left ventricular size and function	133	Average heart rate	Integer
-e 22427							Assessment centre > Imaging > Heart MRI > Left ventricular size and function	133	Body surface area	Continuous
-e 22430		YES-GENETIC					Genomics > Genotypes > Genotype Results	100315	Genotype intensities	Integer
-e 22431		YES-GENETIC					Genomics > Genotypes > Genotype Results	100315	Genotype copy number variants, log2ratios	Integer
-e 22432							Assessment centre > Imaging > Abdominal MRI > Abdominal composition	149	Total abdominal adipose tissue index	Continuous
-e 22433							Assessment centre > Imaging > Abdominal MRI > Abdominal composition	149	Weight-to-muscle ratio	Continuous
-e 22434							Assessment centre > Imaging > Abdominal MRI > Abdominal composition	149	Abdominal fat ratio	Continuous
-e 22435							Assessment centre > Imaging > Abdominal MRI > Abdominal composition	149	Muscle fat infiltration	Continuous
-e 22436							Assessment centre > Imaging > Abdominal MRI > Abdominal composition	149	10P Liver PDFF (proton density fat fraction)	Continuous
-e 22437		YES-GENETIC					Genomics > Genotypes > Genotype Results	100315	Genotype copy number variants B-allele frequencies	Integer
-e 22438		YES-GENETIC					Genomics > Imputation	100319	Haplotypes (WTCHG)	Integer
-e 22499						480	Online follow-up > Work environment	123	Device used to enter occupational data	Categorical single
-e 22500		YES-DATE					Online follow-up > Work environment	123	When occupational data entered	Date
-e 22501						100306	Online follow-up > Work environment	123	Year ended full time education	Integer
-e 22502						7	Online follow-up > Work environment > Medical information	132	Cough on most days	Categorical single
-e 22503							Online follow-up > Work environment > Medical information	132	Years of cough on most days	Integer
-e 22504						7	Online follow-up > Work environment > Medical information	132	Bring up phlegm/sputum/mucus on most days	Categorical single
-e 22505							Online follow-up > Work environment > Medical information	132	Years of bringing up phlegm/sputum/mucus on most days	Integer
-e 22506						496	Online follow-up > Work environment > Medical information	132	Tobacco smoking	Categorical single
-e 22507							Online follow-up > Work environment > Medical information	132	Age of stopping smoking	Integer
-e 22508						946	Online follow-up > Work environment > Medical information	132	Amount of tobacco currently smoked	Integer
-e 22599							Online follow-up > Work environment > Employment history	130	Number of jobs held	Integer
-e 22601			22599	YES		497	Online follow-up > Work environment > Employment history	130	Job coding	Categorical single
-e 22602							Online follow-up > Work environment > Employment history	130	Year job started	Integer
-e 22603						100698	Online follow-up > Work environment > Employment history	130	Year job ended	Integer
-e 22604			22599	YES		494	Online follow-up > Work environment > Employment history	130	Work hours - lumped category	Categorical single
-e 22605							Online follow-up > Work environment > Employment history	130	Work hours per week - exact value	Continuous
-e 22606			22599	YES		493	Online follow-up > Work environment > Employment history	130	Workplace very noisy	Categorical single
-e 22607			22599	YES		493	Online follow-up > Work environment > Employment history	130	Workplace very cold	Categorical single
-e 22608			22599	YES		493	Online follow-up > Work environment > Employment history	130	Workplace very hot	Categorical single
-e 22609			22599	YES		493	Online follow-up > Work environment > Employment history	130	Workplace very dusty	Categorical single
-e 22610			22599	YES		493	Online follow-up > Work environment > Employment history	130	Workplace full of chemical or other fumes	Categorical single
-e 22611			22599	YES		493	Online follow-up > Work environment > Employment history	130	Workplace had a lot of cigarette smoke from other people smoking	Categorical single
-e 22612			22599	YES		493	Online follow-up > Work environment > Employment history	130	Worked with materials containing asbestos	Categorical single
-e 22613			22599	YES		493	Online follow-up > Work environment > Employment history	130	Worked with paints, thinners or glues	Categorical single
-e 22614			22599	YES		493	Online follow-up > Work environment > Employment history	130	Worked with pesticides	Categorical single
-e 22615			22599	YES		493	Online follow-up > Work environment > Employment history	130	Workplace had a lot of diesel exhaust	Categorical single
-e 22616			22599	YES		7	Online follow-up > Work environment > Employment history	130	Breathing problems during period of job	Categorical single
-e 22617			22599	YES		2	Online follow-up > Work environment > Employment history	130	Job code - historical	Categorical single
-e 22618			22599	YES		7	Online follow-up > Work environment > Employment history	130	Breathing problems improved/stopped away from workplace or on holiday	Categorical single
-e 22619			22599	YES		7	Online follow-up > Work environment > Employment history	130	Breathing problems responsible for leaving job	Categorical single
-e 22620			22599	YES		7	Online follow-up > Work environment > Employment history	130	Job involved shift work	Categorical single
-e 22630			22599	YES		489	Online follow-up > Work environment > Employment history	130	Day shifts worked	Categorical single
-e 22631							Online follow-up > Work environment > Employment history	130	Period spent working day shifts	Continuous
-e 22640			22599	YES		489	Online follow-up > Work environment > Employment history	130	Mixture of day and night shifts worked	Categorical single
-e 22641						488	Online follow-up > Work environment > Employment history	130	Period spent working mix of day and night shifts	Continuous
-e 22642							Online follow-up > Work environment > Employment history	130	Usual length of each night shift during mixed shift periods	Integer
-e 22643							Online follow-up > Work environment > Employment history	130	Number of night shifts worked monthly during mixed shift periods	Integer
-e 22644						487	Online follow-up > Work environment > Employment history	130	Consecutive night shifts during mixed shift periods	Integer
-e 22645						487	Online follow-up > Work environment > Employment history	130	Rest days during mixed shift periods	Integer
-e 22650			22599	YES		489	Online follow-up > Work environment > Employment history	130	Night shifts worked	Categorical single
-e 22651						488	Online follow-up > Work environment > Employment history	130	Period spent working night shifts	Continuous
-e 22652							Online follow-up > Work environment > Employment history	130	Usual length of each night shift during night shift periods	Integer
-e 22653							Online follow-up > Work environment > Employment history	130	Number of night shifts worked monthly during night shift periods	Integer
-e 22654						487	Online follow-up > Work environment > Employment history	130	Consecutive night shifts during night shift periods	Integer
-e 22655						487	Online follow-up > Work environment > Employment history	130	Rest days during night shift periods	Integer
-e 22660			22599	YES		486	Online follow-up > Work environment > Employment history	130	Gap coding	Categorical single
-e 22661							Online follow-up > Work environment > Employment history	130	Number of gap periods	Integer
-e 22663							Online follow-up > Work environment > Employment history	130	Year gap started	Integer
-e 22664						100698	Online follow-up > Work environment > Employment history	130	Year gap ended	Integer
-e 22670							Assessment centre > Physical measures > Carotid ultrasound	101	Minimum carotid IMT (intima-medial thickness) at 120 degrees	Continuous
-e 22671							Assessment centre > Physical measures > Carotid ultrasound	101	Mean carotid IMT (intima-medial thickness) at 120 degrees	Continuous
-e 22672							Assessment centre > Physical measures > Carotid ultrasound	101	Maximum carotid IMT (intima-medial thickness) at 120 degrees	Continuous
-e 22673							Assessment centre > Physical measures > Carotid ultrasound	101	Minimum carotid IMT (intima-medial thickness) at 150 degrees	Continuous
-e 22674							Assessment centre > Physical measures > Carotid ultrasound	101	Mean carotid IMT (intima-medial thickness) at 150 degrees	Continuous
-e 22675							Assessment centre > Physical measures > Carotid ultrasound	101	Maximum carotid IMT (intima-medial thickness) at 150 degrees	Continuous
-e 22676							Assessment centre > Physical measures > Carotid ultrasound	101	Minimum carotid IMT (intima-medial thickness) at 210 degrees	Continuous
-e 22677							Assessment centre > Physical measures > Carotid ultrasound	101	Mean carotid IMT (intima-medial thickness) at 210 degrees	Continuous
-e 22678							Assessment centre > Physical measures > Carotid ultrasound	101	Maximum carotid IMT (intima-medial thickness) at 210 degrees	Continuous
-e 22679							Assessment centre > Physical measures > Carotid ultrasound	101	Minimum carotid IMT (intima-medial thickness) at 240 degrees	Continuous
-e 22680							Assessment centre > Physical measures > Carotid ultrasound	101	Mean carotid IMT (intima-medial thickness) at 240 degrees	Continuous
-e 22681							Assessment centre > Physical measures > Carotid ultrasound	101	Maximum carotid IMT (intima-medial thickness) at 240 degrees	Continuous
-e 22682						55	Assessment centre > Physical measures > Carotid ultrasound	101	Quality control indicator for IMT at 120 degrees	Categorical single
-e 22683						55	Assessment centre > Physical measures > Carotid ultrasound	101	Quality control indicator for IMT at 150 degrees	Categorical single
-e 22684						55	Assessment centre > Physical measures > Carotid ultrasound	101	Quality control indicator for IMT at 210 degrees	Categorical single
-e 22685						55	Assessment centre > Physical measures > Carotid ultrasound	101	Quality control indicator for IMT at 240 degrees	Categorical single
-e 22686	X						Assessment centre > Recruitment > Reception	100024	Home location at assessment - east co-ordinate (100m resolution)	Integer
-e 22687	X						Assessment centre > Recruitment > Reception	100024	Home location at assessment - north co-ordinate (100m resolution)	Integer
-e 22688	X						Assessment centre > Recruitment > Reception	100024	Home location at assessment - east co-ordinate (1km resolution)	Integer
-e 22689	X						Assessment centre > Recruitment > Reception	100024	Home location at assessment - north co-ordinate (1km resolution)	Integer
-e 22700		YES-DATE					Additional exposures > Local environment > Home locations	150	Date first recorded at location	Date
-e 22701							Additional exposures > Local environment > Home locations	150	Home location - east co-ordinate (100m resolution)	Integer
